year,artist,song
2018,Au/Ra & CamelPhat,Panic Room
2018,Steve Aoki Featuring BTS,Waste It On Me
2018,DVBBS X Blackbear,IDWK
2018,Nick Jonas vs Robin Schulz,Right Now
2018,MK,17
2018,Calvin Harris Featuring Pharrell Williams  Katy Perry & Big Sean,Feels
2018,Chantel Jeffries Featuring Offset & Vory,Wait
2018,Sigala & Paloma Faith,Lullaby
2018,R3HAB x Conor Maynard,Hold On Tight
2018,CamelPhat & Elderbrook,Cola
2018,Marshmello,Blocks
2018,Netta,Toy
2018,Don Diablo Featuring A R I Z O N A,Take Her Place
2018,Illenium,Take You Down
2018,Lost Kings Featuring Sabrina Carpenter,First Love
2018,Whethan & Dua Lipa,High
2018,Alan Walker,The Spectre
2018,Loud Luxury x Anders,Love No More
2018,Gryffin Featuring Katie Pearlman,Nobody Compares To You
2018,Nicky Jam & Steve Aoki,Jaleo
2018,Steve Aoki Featuring Lil Yachty & AJR,Pretender
2018,Shallou Featuring RIAH,Lie
2018,Axwell & Ingrosso Featuring Romans,Dancing Alone
2018,Lost Kings Featuring Norma Jean Martine,When We Were Young
2018,David Guetta  Bebe Rexha & J Balvin,Say My Name
2018,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me
2018,Arlissa & Jonas Blue,Hearts Ain't Gonna Lie
2018,Avicii,Hey Brother
2018,Calvin Harris Featuring PARTYNEXTDOOR,Nuh Ready Nuh Ready
2018,Rudimental & Major Lazer Featuring Anne-Marie & Mr. Eazi,Let Me Live
2018,Jonas Blue  Liam Payne & Lennon Stella,Polaroid
2018,deadmau5 Featuring Rob Swire,Monophobia
2018,ODESZA Featuring Sasha Sloan,Falls
2018,Alison Wonderland Featuring Trippie Redd,High
