year,artist,song
2012,Tamia,Beautiful Surprise
2012,Eric Benet,Real Love
2012,Nicki Minaj Featuring Chris Brown,Right By My Side
2012,Ledisi Featuring Jaheim,Stay Together
2012,Alicia Keys Featuring Nicki Minaj,Girl On Fire
2012,Chris Brown,Sweet Love
2012,Robin Thicke,All Tied Up
2012,Ace Hood Featuring Chris Brown,Body 2 Body
2012,Wale Featuring Lloyd,Sabotage
2012,Chris Brown Featuring Big Sean & Wiz Khalifa,Till I Die
2012,Tyga Featuring Lil Wayne,Faded
2012,Chris Brown Featuring Ludacris,Wet The Bed
2012,Miguel,Sure Thing
2012,Monica,Until It's Gone
2012,Kendrick Lamar,Swimming Pools (Drank)
2012,Rick Ross Featuring Wale & Drake,Diced Pineapples
2012,Kelly Rowland Featuring Lil Wayne,Ice
2012,Tank,Next Breath
2012,Big Sean Featuring Kanye West & Roscoe Dash,Marvin & Chardonnay
2012,Omarion Featuring Rick Ross,Let's Talk
2012,Chief Keef Featuring Lil Reese,I Don't Like
2012,Ne-Yo,Lazy Love
2012,Lil Wayne Featuring Big Sean,My Homies Still
2012,Jill Scott Featuring Paul Wall,So Gone (What My Mind Says)
2012,Lil Wayne Featuring Detail,No Worries
2013,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop
2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines
2013,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us
2013,Justin Timberlake Featuring JAY Z,Suit & Tie
2013,Jay Z Featuring Justin Timberlake,Holy Grail
2013,Rihanna,Diamonds
2013,Drake,Started From The Bottom
2013,A$AP Rocky Featuring Drake  2 Chainz & Kendrick Lamar,F**kin Problems
2013,Drake Featuring Majid Jordan,Hold On  We're Going Home
2013,Lil Wayne Featuring Drake & Future,Love Me
2013,J. Cole Featuring Miguel,Power Trip
2013,Alicia Keys Featuring Nicki Minaj,Girl On Fire
2013,Macklemore & Ryan Lewis Featuring Mary Lambert,Same Love
2013,Wale Featuring Tiara Thomas Or Rihanna,Bad
2013,Miguel,Adorn
2013,Rihanna,Pour It Up
2013,Kendrick Lamar,Swimming Pools (Drank)
2013,Eminem,Berzerk
2013,Ciara,Body Party
2013,Kendrick Lamar,Bitch  Don't Kill My Vibe
2013,Rocko Featuring Future & Rick Ross,U.O.E.N.O.
2013,Mariah Carey Featuring Miguel,#Beautiful
2013,Kendrick Lamar Featuring Drake,Poetic Justice
2013,Emeli Sande,Next To Me
2013,J. Cole Featuring TLC,Crooked Smile
2013,Ace Hood Featuring Future & Rick Ross,Bugatti
2013,2 Chainz,I'm Different
2013,Lil Wayne Featuring 2 Chainz,Rich As F**k
2013,Kanye West  Jay-Z  Big Sean,Clique
2013,Sage The Gemini Featuring IamSu!,Gas Pedal
2013,Chris Brown Featuring Nicki Minaj,Love More
2013,Mike WiLL Made-It Featuring Miley Cyrus  Wiz Khalifa & Juicy J,23
2013,Chris Brown,Fine China
2013,Trinidad James,All Gold Everything
2013,DJ Khaled Featuring Drake  Rick Ross & Lil Wayne,No New Friends (SFTB Remix)
2013,Lil Wayne Featuring Detail,No Worries
2013,Frank Ocean,Thinkin Bout You
2013,Juicy J Featuring Lil Wayne & 2 Chainz,Bandz A Make Her Dance
2013,B.o.B Featuring T.I. & Juicy J,We Still In This B****
2013,Big Sean Featuring Lil Wayne & Jhene Aiko,Beware
2013,Rich Gang Featuring Lil Wayne  Birdman  Future  Mack Maine  Nicki Minaj,Tapout
2013,Eminem Featuring Rihanna,The Monster
2013,Rich Homie Quan,Type Of Way
2013,Justin Timberlake,Take Back The Night
2013,Robin Thicke Featuring Kendrick Lamar,Give It 2 U
2013,Sage The Gemini,Red Nose
2013,The Weeknd,Wicked Games
2013,Rihanna Featuring Future,Loveeeeeee Song
2013,JAY-Z,Tom Ford
2013,Sean Kingston Featuring Chris Brown & Wiz Khalifa,Beat It
2013,Future,Neva End
2013,Young Jeezy Featuring 2 Chainz,R.I.P.
2013,Tamar Braxton,Love And War
2013,Lupe Fiasco & Guy Sebastian,Battle Scars
2013,B.o.B Featuring 2 Chainz,HeadBand
2013,Miguel,How Many Drinks?
2013,T.I. Featuring Lil Wayne,Ball
2013,The FiNATTiCZ,Don't Drop That Thun Thun!
2013,French Montana,Ain't Worried About Nothin
2013,August Alsina Featuring Trinidad James,I Luv This Sh*t
2013,2 Chainz Featuring Pharrell,Feds Watching
2013,Nicki Minaj Featuring Lil Wayne,High School
2013,YG Featuring Jeezy & Rich Homie Quan,My Hitta
2013,Chief Keef,Love Sosa
2013,Eminem,Rap God
2013,2 Chainz & Wiz Khalifa,We Own It (Fast & Furious)
2013,Kelly Rowland,Kisses Down Low
2013,Jonn Hart Featuring IamSU!,Who Booty
2013,Chris Brown,Don't Judge Me
2013,A$AP Rocky Featuring Skrillex,Wild For The Night
2013,Drake Featuring 2 Chainz & Big Sean,All Me
2013,Future Featuring Lil Wayne,Karate Chop (Remix)
2013,Jay Z Featuring Rick Ross,F*ckwithmeyouknowigotit
2013,Justin Timberlake,TKO
2013,French Montana Featuring Rick Ross  Drake  Lil Wayne,Pop That
2013,Tyga Featuring Cedric Gervais  Wiz Khalifa & Mally Mall,Molly
2013,Juicy J Featuring Wale & Trey Songz,Bounce It
2013,Big Sean,Guap
2013,Wiz Khalifa Featuring The Weeknd,Remember You
2013,Eminem,Survival
2013,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,White Walls
2013,Future,Honest
2013,Fantasia Featuring Kelly Rowland & Missy Elliott,Without Me
2013,Fabolous Featuring Chris Brown,Ready
2013,Tyga Featuring Rick Ross,Dope
2013,Hustle Gang Featuring T.I.  B.o.B  Kendrick Lamar & Kris Stephens,Memories Back Then
2013,2 Chainz Featuring Kanye West,Birthday Song
2013,Tamar Braxton,The One
2013,Juicy J Featuring Big Sean & Young Jeezy,Show Out
2013,Sevyn Streeter Featuring Chris Brown,It Won't Stop
2013,Major Lazer Featuring Bruno Mars  Tyga & Mystic,Bubble Butt
2013,Kanye West  Big Sean  Pusha T  2 Chainz,Mercy
2013,K. Michelle,V.S.O.P.
2013,2 Chainz Featuring Drake,No Lie
2013,French Montana Featuring Nicki Minaj,Freaks
2013,A$AP Ferg,Work
2013,Wale Featuring Sam Dew,LoveHate Thing
2013,Ciara Featuring Nicki Minaj,I'm Out
2013,Migos,Versace
2013,Game Featuring Chris Brown  Tyga  Wiz Khalifa & Lil Wayne,Celebration
2014,Pharrell Williams,Happy
2014,John Legend,All Of Me
2014,Iggy Azalea Featuring Charli XCX,Fancy
2014,Jason Derulo Featuring 2 Chainz,Talk Dirty
2014,Eminem Featuring Rihanna,The Monster
2014,Iggy Azalea Featuring Rita Ora,Black Widow
2014,Beyonce Featuring Jay Z,Drunk In Love
2014,Jason Derulo Featuring Snoop Dogg,Wiggle
2014,Nicki Minaj,Anaconda
2014,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,Loyal
2014,Jeremih Featuring YG,Don't Tell 'Em
2014,Kid Ink Featuring Chris Brown,Show Me
2014,Aloe Blacc,The Man
2014,Bobby Shmurda,Hot Boy
2014,Tinashe Featuring ScHoolboy Q,2 On
2014,Trey Songz,Na Na
2014,YG Featuring Jeezy & Rich Homie Quan,My Hitta
2014,Drake Featuring Majid Jordan,Hold On  We're Going Home
2014,Rich Gang Featuring Young Thug & Rich Homie Quan,Lifestyle
2014,Chris Brown Featuring Usher & Rick Ross,New Flame
2014,Beyonce,Partition
2014,Michael Jackson & Justin Timberlake,Love Never Felt So Good
2014,T.I. Featuring Iggy Azalea,No Mediocre
2014,ScHoolboy Q Featuring BJ The Chicago Kid,Studio
2014,Mike WiLL Made-It Featuring Miley Cyrus  Wiz Khalifa & Juicy J,23
2014,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,White Walls
2014,Lil Wayne Featuring Drake,Believe Me
2014,Ty Dolla $ign Featuring B.o.B,Paranoid
2014,Drake,0 To 100 / The Catch Up
2014,Nicki Minaj,Pills N Potions
2014,Jhene Aiko,The Worst
2014,Wiz Khalifa,We Dem Boyz
2014,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,Or Nah
2014,Eminem,Rap God
2014,Rae Sremmurd,No Flex Zone
2014,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines
2014,Young Money Featuring Drake,Trophies
2014,YG Featuring Drake,Who Do You Love?
2014,Drake Featuring 2 Chainz & Big Sean,All Me
2014,T.I. Featuring Young Thug,About The Money
2014,Sevyn Streeter Featuring Chris Brown,It Won't Stop
2014,Future Featuring Pharrell  Pusha T & Casino,Move That Doh
2014,Kid Ink Featuring Chris Brown,Main Chick
2014,KCamp Featuring 2 Chainz,Cut Her Off
2014,Iggy Azalea,Work
2014,T-Pain Featuring B.o.B,Up Down (Do This All Day)
2014,Pharrell Williams,Come Get It Bae
2014,Young Thug,Stoner
2014,Usher,Good Kisser
2014,Childish Gambino,V. 3005
2014,Trey Songz Featuring Nicki Minaj,Touchin  Lovin
2014,Big Sean Featuring E-40,I Don't F**k With You
2014,Rae Sremmurd,No Type
2014,I LOVE MAKONNEN Featuring Drake,Tuesday
2014,ScHoolboy Q,Man Of The Year
2014,DJ Khaled Featuring Chris Brown  August Alsina  Future & Jeremih,Hold You Down
2014,Chris Brown Featuring Nicki Minaj,Love More
2014,Jay Z Featuring Justin Timberlake,Holy Grail
2014,Migos,Fight Night
2014,Beyonce,XO
2014,Drake,The Language
2014,SoMo,Ride
2014,Jay Z Featuring Beyonce,Part II (On The Run)
2014,Sage The Gemini Featuring IamSu!,Gas Pedal
2014,Kendrick Lamar,i
2014,Tyga Featuring Young Thug,Hookah
2014,Eminem Featuring Nate Ruess,Headlights
2014,Trey Songz,Foreign
2014,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless
2014,Ca$h Out,She Twerkin
2014,Kanye West,Bound 2
2014,TeeFLii Featuring 2 Chainz,24 Hours
2014,Rico Love,They Don't Know
2014,Justin Timberlake,TKO
2014,Migos,Handsome And Wealthy
2014,Future Featuring Kanye West,I Won
2014,Rich Homie Quan Featuring Problem,Walk Thru
2014,John Legend,You & I (Nobody In The World)
2014,August Alsina Featuring Trinidad James,I Luv This Sh*t
2014,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,You And Your Friends
2014,K. Michelle,Can't Raise A Man
2014,Eminem,Berzerk
2014,Adrian Marcel Featuring Sage The Gemini,2AM.
2014,Eminem,Survival
2014,Justin Bieber Featuring Chance The Rapper,Confident
2014,will.i.am Featuring Miley Cyrus  French Montana  Wiz Khalifa & DJ Mustard,Feelin' Myself
2014,Jeezy Featuring Jay Z,Seen It All
2014,G-Eazy Featuring Remo,I Mean It
2014,KCamp Featuring Kwony Ca$h,Money Baby
2014,Snootie Wild & Yo Gotti & DJ Drama,Yayo
2014,August Alsina,No Love
2014,Drake,Worst Behavior
2014,JAY-Z,Tom Ford
2014,Yo Gotti Featuring Rich Homie Quan,I Know
2014,B.o.B Featuring 2 Chainz,HeadBand
2014,Eminem Featuring Sia,Guts Over Fear
2014,The Weeknd,Often
2014,J. Cole Featuring Amber Coffman & The Cults,She Knows
2014,B.o.B Featuring Priscilla,John Doe
2014,Sage The Gemini,Red Nose
2015,Wiz Khalifa Featuring Charlie Puth,See You Again
2015,Fetty Wap,Trap Queen
2015,Silento,Watch Me
2015,The Weeknd,The Hills
2015,The Weeknd,Can't Feel My Face
2015,The Weeknd,Earned It (Fifty Shades Of Grey)
2015,Fetty Wap Featuring Remy Boyz,679
2015,Drake,Hotline Bling
2015,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be
2015,Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.
2015,Rihanna & Kanye West & Paul McCartney,FourFiveSeconds
2015,Natalie La Rose Featuring Jeremih,Somebody
2015,Fetty Wap Featuring Monty,My Way
2015,Rihanna,B**** Better Have My Money
2015,T-Wayne,Nasty Freestyle
2015,Nicki Minaj Featuring Drake  Lil Wayne & Chris Brown,Only
2015,Usher Featuring Juicy J,I Don't Mind
2015,Big Sean Featuring E-40,I Don't F**k With You
2015,Beyonce,7/11
2015,Rich Homie Quan,Flex (Ooh Ooh Ooh)
2015,Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter
2015,Jidenna Featuring Roman GianArthur,Classic Man
2015,Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You
2015,Big Sean Featuring Drake,Blessings
2015,Rae Sremmurd,No Type
2016,Drake Featuring WizKid & Kyla,One Dance
2016,Desiigner,Panda
2016,Rihanna Featuring Drake,Work
2016,Rihanna,Needed Me
2016,G-Eazy x Bebe Rexha,Me  Myself & I
2016,Drake,Hotline Bling
2016,Drake Featuring Rihanna,Too Good
2016,D.R.A.M. Featuring Lil Yachty,Broccoli
2016,Alessia Cara,Here
2016,The Weeknd,The Hills
2016,Drake,Controlla
2016,Drake & Future,Jumpman
2016,Kent Jones,Don't Mind
2016,Bryson Tiller,Don't
2016,Future Featuring The Weeknd,Low Life
2016,DJ Khaled Featuring Drake,For Free
2016,The Weeknd Featuring Daft Punk,Starboy
2016,Kevin Gates,2 Phones
2016,Jeremih,Oui
2016,The Weeknd,In The Night
2016,Yo Gotti Featuring Nicki Minaj,Down In The DM
2016,Tory Lanez,Luv
2016,Beyonce,Sorry
2016,Tory Lanez,Say It
2016,Lil Wayne  Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors,Sucker For Pain
2016,Bryson Tiller,Exchange
2016,Travis Scott,Antidote
2016,Drake Featuring The Throne,Pop Style
2016,Fetty Wap Featuring Remy Boyz,679
2016,Post Malone,White Iverson
2016,O.T. Genasis Featuring Young Dolph,Cut It
2016,Chris Brown,Back To Sleep
2016,Usher Featuring Young Thug,No Limit
2016,Future,Wicked
2016,Desiigner,Tiimmy Turner
2016,Rae Sremmurd Featuring Gucci Mane,Black Beatles
2016,Kevin Gates,Really Really
2016,Kanye West,Father Stretch My Hands Pt. 1
2016,Drake,Summer Sixteen
2016,Chance The Rapper Featuring Lil Wayne & 2 Chainz,No Problem
2016,DJ Khaled Featuring Jay Z & Future,I Got The Keys
2016,Lil Uzi Vert,Money Longer
2016,MadeinTYO,Uber Everywhere
2016,ScHoolboy Q Featuring Kanye West,THat Part
2016,Young Thug,Best Friend
2016,The Weeknd,Can't Feel My Face
2016,Beyonce,Hold Up
2016,PARTYNEXTDOOR Featuring Drake,Come And See Me
2016,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem)
2016,Rob $tone Featuring J. Davi$ & Spooks,Chill Bill
2016,Young Thug And Travis Scott Featuring Quavo,Pick Up The Phone
2016,Young M.A,OOOUUU
2016,Wale,My PYT
2016,Lil Yachty,1 Night
2016,Fetty Wap,Again
2016,Drake,Childs Play
2016,Beyonce,Formation
2016,Fetty Wap,Wake Up
2016,Amine,Caroline
2016,Kanye West,Famous
2016,Lil Uzi Vert,You Was Right
2016,Dreezy Featuring Jeremih,Body
2016,Drake,Still Here
2016,DLOW,Do It Like Me
2016,Kid Ink Featuring Fetty Wap,Promise
2016,iLoveMemphis,Hit The Quan
2016,Dae Dae,Wat U Mean (Aye  Aye  Aye)
